T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
86.2780849994176,699753175.381135,702247616.323969,1875647933.09654,1822618159.85706,2575401108.47768,2524865776.18103,29850003.1475447,29264276.9773068
86.462616452162,705279346.989136,707665675.736278,1892422914.91787,1839367834.99618,2597702261.907,2547033510.73245,30044224.5273123,29458205.3522483
86.6471479049064,710841435.787318,713119599.901379,1909306394.69659,1856227403.66518,2620147830.4839,2569347003.56656,30239285.3569894,29652989.9229815
86.8316793576508,716439597.091954,718609547.111189,1926298844.39279,1873197340.35168,2642738441.48474,2591806887.46287,30435187.4979422,29848632.5124285
87.0162108103951,722073986.410042,724135675.860534,1943400737.29788,1890278112.73153,2665474723.70793,2614413788.59207,30631932.820433,30045134.8576613
87.2007422631395,727744759.279724,729698144.848506,1960612546.54663,1907470190.27636,2688357305.82636,2637168335.12486,30829523.1918329,30242498.709382
87.3852737158839,733452071.822358,735297113.371398,1977934742.33985,1924774047.71192,2711386814.1622,2660071161.08332,31027960.4253739,30440725.8581856
87.5698051686283,739196080.67698,740932740.837088,1995367792.2741,1942190160.71864,2734563872.95108,2683122901.55573,31227246.2862319,30639818.101811
87.7543366213727,744976942.500682,746605186.961851,2012912163.85583,1959719004.91042,2757889106.35652,2706324191.87227,31427382.5379152,30839777.2267221
87.938868074117,750794814.186396,752314612.033677,2030568325.47244,1977361055.7779,2781363139.65883,2729675667.81158,31628370.9460407,31040604.9984814
88.1233995268614,756649853.380399,758061176.414524,2048336748.32528,1995116788.92435,2804986601.70568,2753177965.33888,31830213.282962,31242303.1813987
88.3079309796058,762542217.879074,763845040.860484,2066217904.17639,2012986684.11722,2828760122.05546,2776831724.9777,32032911.3223747,31444873.573336
88.4924624323502,768472065.520876,769666366.602694,2084212265.11136,2030971226.14288,2852684330.63223,2800637592.74557,32236466.840181,31648318.0125944
88.6769938850946,774439554.76129,775525314.938011,2102320307.96008,2049070901.12014,2876759862.72137,2824596216.05815,32440881.6446388,31852638.3503287
88.8615253378389,780444844.524427,781422047.746018,2120542513.15579,2067286211.25858,2900987357.68022,2848708259.0046,32646157.5685804,32057836.6003149
89.0460567905833,786488093.746586,787356727.366761,2138879361.22385,2085617671.48246,2925367454.97043,2872974398.84922,32852296.4454599,32263914.9048288
89.2305882433277,792569461.655493,793329516.222377,2157331334.00242,2104065794.45938,2949900795.65791,2897395310.68176,33059300.1138541,32470875.377999
89.4151196960721,798689108.261439,799340577.337055,2175898916.85494,2122631070.31903,2974588025.11638,2921971647.65609,33267170.4260957,32678719.8599351
89.5996511488165,804847193.70471,805390074.04363,2194582595.73046,2141313977.63702,2999429789.43517,2946704051.68065,33475909.2368026,32887450.0502701
89.7841826015608,811043878.181563,811478169.79427,2213382856.36776,2160114996.60086,3024426734.54932,2971593166.39513,33685518.3963377,33097067.6626892
89.9687140543052,817279322.543863,817605028.648272,2232300182.04241,2179034616.26355,3049579504.58627,2996639644.91182,33895999.7052191,33307574.4898438
90.1532455070496,823553688.068827,823770814.861611,2251335054.4319,2198073328.54871,3074888742.50073,3021844143.41032,34107354.9316262,33518972.3499511
90.337776959794,829867136.042266,829975692.884062,2270487955.19074,2217231624.13051,3100355091.23301,3047207317.01457,34319585.8431908,33731263.0410101
90.5223084125384,836219828.067973,836219827.785505,2289759366.90256,2236509989.6786,3125979194.97054,3072729817.46411,34532694.2074612,33944448.2962521
